1769100774.752542	udp	dns	-	-	-	1	0
1769100774.752543	udp	dns	-	-	-	1	0
1769100783.456632	tcp	-	-	-	-	0	1
1769100782.206756	udp	dns	0.009801	48	113	1	1
1769100782.207088	udp	dns	0.011859	96	323	2	2
1769100782.219562	udp	dns	0.004640	47	111	1	1
1769100784.071532	udp	dns	-	-	-	1	0
1769100784.071533	udp	dns	-	-	-	1	0
1769100794.825899	udp	dns	-	-	-	1	0
1769100804.040397	udp	dns	-	-	-	1	0
1769100804.040398	udp	dns	-	-	-	1	0
1769100809.262793	tcp	-	-	-	-	0	1
1769100814.792424	udp	dns	-	-	-	1	0
1769100814.792424	udp	dns	-	-	-	1	0
1769100824.110677	udp	dns	-	-	-	1	0
1769100824.110678	udp	dns	-	-	-	1	0
1769100836.602853	tcp	-	0.000412	24	0	2	2
1769100832.386913	udp	dns	0.014334	37	234	1	1
1769100832.387096	udp	dns	0.010957	37	206	1	1
1769100834.761152	udp	dns	-	-	-	1	0
1769100834.761323	udp	dns	-	-	-	1	0
1769100786.634090	icmp	-	-	-	-	1	0
1769100778.545886	icmp	-	12.491536	32	0	2	0
1769100792.041924	icmp	-	-	-	-	1	0
1769100842.525588	udp	dns	0.112312	28	112	1	1
1769100842.525845	udp	dns	0.112105	56	137	2	2
1769100843.469032	udp	dns	0.006036	31	147	1	1
1769100843.469292	udp	dns	0.008570	62	242	2	2
1769100843.479429	udp	dns	0.003008	100	188	2	2
1769100843.565719	udp	dns	0.431124	32	57	1	1
1769100843.565854	udp	dns	0.430988	64	108	2	2
1769100793.578064	icmp	-	-	-	-	1	0
1769100843.847843	udp	dns	0.222642	31	172	1	1
1769100843.848108	udp	dns	0.222377	62	310	2	2
1769100843.996843	udp	dns	-	-	-	1	0
1769100843.996843	udp	dns	-	-	-	1	0
1769100795.335053	icmp	-	-	-	-	1	0
1769100778.030003	icmp	-	18.533991	32	0	2	0
1769100847.463905	udp	dns	0.004826	55	107	1	1
1769100841.606619	udp	dns	5.015183	129	183	3	2
1769100854.830712	udp	dns	-	-	-	1	0
1769100854.830713	udp	dns	-	-	-	1	0
1769100807.967373	udp	-	-	-	-	1	0
1769100859.576842	udp	dns	0.009186	56	100	2	2
1769100859.730686	udp	dns	0.019271	45	115	1	1
1769100844.072176	tcp	ssl	21.205019	2164	5736	13	14
1769100864.047172	udp	dns	-	-	-	1	0
1769100864.047173	udp	dns	-	-	-	1	0
1769100822.677486	udp	-	-	-	-	1	0
1769100775.042317	tcp	-	112.351970	141	78	7	5
1769100884.117829	udp	dns	-	-	-	1	0
1769100884.117830	udp	dns	-	-	-	1	0
1769100874.750183	udp	dns	11.924101	425	0	6	0
1769100874.746516	udp	dns	11.927767	425	0	6	0
1769100844.002986	udp	quic,ssl	0.097581	4026	10157	7	12
1769100904.085918	udp	dns	-	-	-	1	0
1769100904.085919	udp	dns	-	-	-	1	0
1769100906.646067	udp	dns	-	-	-	1	0
1769100906.646067	udp	dns	-	-	-	1	0
1769100832.402270	tcp	ssl	90.629456	3468	65888	33	20
1769100870.396979	unknown_transport	-	-	-	-	1	0
1769100872.105916	unknown_transport	-	-	-	-	1	0
1769100926.716939	udp	dns	-	-	-	1	0
1769100926.716940	udp	dns	-	-	-	1	0
1769100882.581649	udp	-	-	-	-	1	0
1769100859.589530	icmp	-	32.111552	1848	1792	33	32
1769100782.225390	tcp	ssl	171.047405	3211	2038	18	16
1769100957.232508	udp	dns	2.048121	332	0	5	0
1769100957.232508	udp	dns	2.048120	332	0	5	0
1769100958.345077	udp	dns	1.000244	276	0	4	0
1769100958.345079	udp	dns	1.000243	276	0	4	0
1769100921.699710	icmp	-	-	-	-	1	0
1769100919.786453	icmp	-	-	-	-	1	0
1769100918.831617	icmp	-	-	-	-	1	0
1769100918.831446	unknown_transport	-	-	-	-	1	0
1769100917.603359	icmp	-	-	-	-	1	0
1769100914.922288	icmp	-	-	-	-	1	0
1769100912.073410	icmp	-	-	-	-	1	0
1769100921.009969	udp	-	-	-	-	1	0
1769100907.670004	udp	-	1.020048	2390	0	8	0
1769100919.138612	icmp	-	-	-	-	1	0
1769100884.629156	unknown_transport	-	47.822307	0	0	2	0
1769100884.629154	icmp	-	47.822310	32	0	2	0
1769100847.469145	tcp	ssl	58.332844	498	3445	10	9
1769100846.741559	tcp	ssl	0.760542	2069	1242	8	7
1769100790.932080	tcp	-	160.071518	964	888	28	34
1769100846.625309	tcp	ssl	59.168591	2751	900	11	8
1769100842.638865	tcp	ssl	5.273067	2145	3379	14	12
1769100843.483630	tcp	ssl	59.240210	2124	6249	14	12
